learning_rate,weight_decay,dropout,momentum,accuracy,precision,sensitivity,specificity,MCC,AUC,Auc
0.01,0.0001,0.5,0.1,0.765060241,0.770833333,0.711538462,0.8125,0.52774196,0.762019231,0.851762821
0.01,0.0001,0.5,0.5,0.804216867,0.806060606,0.801204819,0.807228916,0.608444775,0.804216867,0.871897227
0.01,0.0001,0.5,0.5,0.719879518,0.764705882,0.672413793,0.772151899,0.445417095,0.722282846,0.831078132
0.01,0.0001,0.5,0.5,0.75,0.735955056,0.784431138,0.715151515,0.500884043,0.749791326,0.857448739
0.01,0.0001,0.5,0.5,0.756024096,0.87804878,0.620689655,0.905063291,0.543699813,0.762876473,0.845700567
0.01,0.0001,0.5,0.5,0.756024096,0.781954887,0.666666667,0.835227273,0.511185146,0.75094697,0.852454837
0.01,0.0001,0.5,0.9,0.78313253,0.773255814,0.801204819,0.765060241,0.566635316,0.78313253,0.869320656
0.01,0.0001,0.5,0.9,0.725903614,0.748502994,0.718390805,0.734177215,0.452050362,0.72628401,0.811508803
0.01,0.0001,0.5,0.9,0.768072289,0.764705882,0.778443114,0.757575758,0.536164826,0.768009436,0.846942479
0.01,0.0001,0.5,0.9,0.734939759,0.790540541,0.672413793,0.803797468,0.478479196,0.738105631,0.830969009
0.01,0.0001,0.5,0.9,0.731927711,0.710691824,0.724358974,0.738636364,0.462565925,0.731497669,0.842748397
0.01,0.0001,0.8,0.1,0.801204819,0.857142857,0.722891566,0.879518072,0.609937546,0.801204819,0.878937436
0.01,0.0001,0.8,0.1,0.728915663,0.776315789,0.67816092,0.784810127,0.464086518,0.731485523,0.839844318
0.01,0.0001,0.8,0.1,0.774096386,0.848484848,0.670658683,0.878787879,0.561337045,0.774723281,0.851714752
0.01,0.0001,0.8,0.1,0.753012048,0.819444444,0.67816092,0.835443038,0.517572697,0.756801979,0.846900917
0.01,0.0001,0.8,0.1,0.746987952,0.760869565,0.673076923,0.8125,0.491740823,0.742788462,0.833479021
0.01,0.0001,0.8,0.5,0.813253012,0.833333333,0.78313253,0.843373494,0.627645914,0.813253012,0.882348672
0.01,0.0001,0.8,0.5,0.728915663,0.787671233,0.66091954,0.803797468,0.467583132,0.732358504,0.831478248
0.01,0.0001,0.8,0.5,0.774096386,0.798701299,0.736526946,0.812121212,0.550077361,0.774324079,0.857956814
0.01,0.0001,0.8,0.5,0.756024096,0.825174825,0.67816092,0.841772152,0.524386726,0.759966536,0.851993307
